feature,ensemble_score,anova,mutual_info,random_forest,extra_trees,variance,cluster_separation
spectral_contrast_band4_mean,0.21398528485172438,0.22443286249797859,0.08905338725543377,0.049591247655380234,0.10023468848342101,1.0,0.15112938972553783
74-bpm_histogram_second_peak_bpm,0.21287687513727316,0.05684918170507338,0.7149127939217133,0.047122147531013146,0.06662735486420263,0.3333333333333333,0.029301548574958182
38-SpectralCentroidstd,0.2127966175808377,0.31629578751628645,0.1275432024444517,0.07864508276332745,0.12271530095765874,0.3333333333333333,0.4074438518322811
spectral_contrast_band6_mean,0.2125026682926101,0.31711040082668107,0.10898294610371285,0.1074870107565527,0.16451369075583214,0.3333333333333333,0.3192068976717857
37-EnergyEntropystd,0.20748756034588764,0.30066584700983034,0.123978127028361,0.09209706277353572,0.13337721020769033,0.3333333333333333,0.3576614576856383
25-ChromaVector4m,0.20560321044118524,0.2236795892433087,0.07505358425574506,0.04715799320772328,0.04928910867722036,0.6666666666666666,0.511809646694147
10-MFCCs2m,0.2035072313789985,0.3364655131916666,0.1336857312097639,0.10116872644935263,0.17795680088270355,0.0,0.4572644141685302
3-EnergyEntropym,0.2027143612050419,0.3093777103130733,0.12010546076652398,0.10066088241101151,0.08559353391238747,0.3333333333333333,0.3504430157107501
sidechain_mod_rate,0.20243653280120938,0.26875913109838023,0.09738876301084536,0.04298395080646713,0.10668510412361025,0.6666666666666666,0.24502774977943617
57-ChromaVector2std,0.1982953056499916,0.13533831855358386,0.048571302193931944,0.02763478580367331,0.028142681610310267,1.0,0.44998106170528007
43-MFCCs1std,0.19783603293148488,0.2417720174283309,0.07542496984897394,0.0572039148318162,0.06522784244590481,0.6666666666666666,0.34416408604691745
fourier_peak2_std,0.19642054346202292,0.25197315701512435,0.08842261347269845,0.07830568516174084,0.163667152938338,0.3333333333333333,0.4219818820726996
18-MFCCs10m,0.19206823387131952,0.19175116058273925,0.04436718083656197,0.03753238937000848,0.044371598672758104,1.0,0.2109478988340688
49-MFCCs7std,0.1915046307198408,0.24360333589444075,0.08775011700212262,0.05848529865576252,0.051537776092808754,0.6666666666666666,0.2695938053406561
spectral_contrast_band7_mean,0.1908828069815076,0.18514655347484896,0.11720572548338055,0.0707913790393504,0.09799637643352786,0.6666666666666666,0.25630624576553346
64-ChromaVector9std,0.18900782811481837,0.12319068951949531,0.04043343705051983,0.02814928029843662,0.013577388759267053,1.0,0.42457003951263167
cyclic_fourier_peak1_std,0.1874350042284178,0.24462333422053748,0.10884413315152529,0.0755857431232143,0.15458335446429536,0.3333333333333333,0.3287235891535789
cyclic_fourier_peak4_std,0.18736033963461463,0.2728709183799336,0.0783008070201823,0.06733034522597177,0.07608907197041112,0.3333333333333333,0.452696854615054
cyclic_fourier_peak3_std,0.18501640387831575,0.2667974055843068,0.08405616701791196,0.052167243892046765,0.11955392815533991,0.3333333333333333,0.39805947743612996
63-ChromaVector8std,0.18427454159649173,0.12297517872133841,0.024260143780090178,0.01698218056547261,0.005591304474911572,1.0,0.44443586375807825
86-beats_loudness_band_ratio.mean6,0.17834674579550172,0.23068008321051106,0.10264170525986742,0.11977676246610687,0.14792114585886942,0.3333333333333333,0.20671526235515345
spectral_flatness_mean,0.17819919297585632,0.23527391835429778,0.15417167759672,0.07748374232938579,0.08118793614325269,0.3333333333333333,0.2753810564723947
87-beats_loudness_band_ratio.stdev1,0.17672194674692213,0.2615464292253466,0.10577677884309679,0.08414245791866064,0.17781210298630823,0.3333333333333333,0.1334634330695441
auto_peak5_bpm,0.17651784833635153,0.048126534845181736,0.6123308426549546,0.010096224152435765,0.02299473677549376,0.3333333333333333,0.03218257413920624
auto_peak4_std,0.17643660310874912,0.19867756662316594,0.0790610789476899,0.034027100491262494,0.05531690560294482,0.6666666666666666,0.29185373058058756
91-beats_loudness_band_ratio.stdev5,0.17563666624628746,0.27511735023882516,0.09771776345474564,0.0694596872009613,0.15126708062540356,0.3333333333333333,0.17398443128295907
cyclic_fourier_peak1_mean,0.17451494454173744,0.2419637162591942,0.11056325039270877,0.07613944941363558,0.14235366448075468,0.3333333333333333,0.21997092510223487
32-ChromaVector11m,0.17367655808378415,0.23632430715308705,0.0779073092253975,0.045656332958099906,0.06393349630741135,0.3333333333333333,0.46959395079367877
auto_peak4_bpm,0.17290038822498624,0.03375343516144176,0.6283731022515625,0.001868884108196571,0.017309419234607527,0.3333333333333333,0.02483885944149538
cyclic_fourier_peak4_mean,0.1721807411990201,0.2552308576134886,0.10248441380254393,0.09523975242218702,0.09652438444826107,0.3333333333333333,0.21016202550129273
47-MFCCs5std,0.17215515330061296,0.2808107543890356,0.082124729150487,0.06566538354171432,0.07905716916145575,0.3333333333333333,0.27202533457362094
spectral_flatness_std,0.16849530318751815,0.27325367684505464,0.13430042884697246,0.041848789151964015,0.08619940750265341,0.3333333333333333,0.18688795917735837
51-MFCCs9std,0.16754578082241162,0.2534536672419109,0.10106570433772036,0.05920505545103518,0.06511327521358082,0.3333333333333333,0.2902788743881234
60-ChromaVector5std,0.16723870407934796,0.10330141270157317,0.00931777725534708,0.003878272681912912,0.0,1.0,0.38774140916502664
5-SpectralSpreadm,0.16702055124717025,0.24126074637946415,0.08121521572183157,0.056297202896393304,0.11067831789805402,0.3333333333333333,0.29267799910617814
